io_time,assistance_on_time,io,actual_time,chineseName,name,imo,country,agent,length,dwt,actual_dwt,port,assistance_man,type
08/0000 ,,靠,,乔治马士基,GEORG MAERSK,OYGN2,丹麦,上港联代,366.93,10.8,,洋一2,,集装箱船
08/0000 ,,靠,,商船三井创造,MOL CREATION,C6WD9,巴哈马,上海顺德,316,12.2,,洋三2/3,,集装箱船
08/0000,,靠,,中海卢瓦尔河,CMA CGM LOIRE,9HA3739,马耳他,上海中货,300,9.5,,洋三6,,集装箱船
08/0030 ,,靠,,中远诚信,COSCO FAITH,VRJL6,中国香港,上海中货,365.45,14.2,,洋一4,,集装箱船
08/0030 ,,靠,,长华,EVER LAMBENT,2FRE8,英国,上海航华,334.98,13,,洋三5,,集装箱船
08/0300,,靠,,地中海莰迪斯,MSC CANDICE,3ENC5,巴拿马,上港联代,336.67,10.5,,洋一4,,油轮
08/0330 ,,靠,,地中海维加,MSC VEGA,D5BE4,利比里亚,上港联代,366.45,8.5,,洋一3,,集装箱船
08/0330 ,,靠,,中远马来西亚,COSCO MALAYSIA,VRGV9,中国香港,上海中货,334.07,11.2,,洋三5,,集装箱船
08/0330,,靠,,财明,YM WEALTH,A8EI4,利比里亚,上海外运,274.69,11,,洋三1,,集装箱船
08/0330 ,,靠,,中远鹿特丹,COSCO ROTTERDAM,2BOK5,英国,上海中货,280,12.2,,洋一5,,集装箱船
08/0630,,靠,,圣乌苏拉,SANTA URSULA,CQFC,葡萄牙,上海航华,299.98,11.5,,洋三1,,集装箱船
08/0730,,靠,,地中海索尼亚,MSC SONIA,3EUP7,巴拿马,上港联代,365.5,10.35,,洋一5,,集装箱船
08/1200 ,,靠,,地中海维加,MSC VEGA,D5BE4,利比里亚,上港联代,366.45,10,,洋一3,,集装箱船
08/1200,,靠,,中远马来西亚,COSCO MALAYSIA,VRGV9,中国香港,上海中货,334.07,12.5,,洋三5,,集装箱船
08/1200 ,,开,,商船三井创造,MOL CREATION,C6WD9,巴哈马,上海顺德,316,13.4,,洋三2/3,,集装箱船
08/1200 ,,开,,美慈马士基,MATZ MAERSK,OWJM2,丹麦,上港联代,399.23,9.5,,洋二8,,集装箱船
08/1500 ,,开,,海源,THALASSA MANA,9V2234,新加坡,上海航华,368,11.7,,洋二8,,集装箱船
08/1500 ,,开,,中海黄海,CSCL YELLOW SEA,VRNG9,中国香港,上海中货,335,12.8,,洋一3,,集装箱船
08/1500,,开,,日邮罗穆卢斯,NYK ROMULUS,9V7644,新加坡,上港联代,294.12,11.1,,洋三5,,集装箱船
08/1530,,开,,商船三井现代,MOL MODERN,V7VS6,马绍尔群岛,上港联代,302,11.7,,洋三2/3,,集装箱船
08/1600,,开,,乔治马士基,GEORG MAERSK,OYGN2,丹麦,上港联代,366.93,12.3,,洋一2,,集装箱船
08/1600 ,,开,,地中海莰迪斯,MSC CANDICE,3ENC5,巴拿马,上港联代,336.67,9.5,,洋一4,,集装箱船
08/1600 ,,开,,中海卢瓦尔河,CMA CGM LOIRE,9HA3739,马耳他,上海中货,300,8.6,,洋三6,,集装箱船
08/1900 ,,开,,中海圣费尔南多,SAN FERNANDO,V7GO3,马绍尔群岛,上海中货,299.9,10,,洋一4,,集装箱船
08/1900 ,,开,,克里弗德马士基,CLIFFORD MAERSK,OYRO2,丹麦,上港联代,346.98,10.5,,洋一2,,集装箱船
08/1930,,开,,东方伊斯坦,OOCL ISTANBUL,9HSZ9,马耳他,上海外代,260.05,8.6,,洋三6,,集装箱船
08/1930,,开,,埃斯特尔马士基,ESTELLE MAERSK,OVXO2,丹麦,上港联代,397.71,12,,洋二7,,集装箱船
08/1930 ,,开,,现代集结,HYUNDAI TOGETHER,D5BF7,利比里亚,上海鹏海,366.53,12.5,,洋三3,,集装箱船
08/2000 ,,开,,中海北冰洋,CSCL ARCTIC OCEAN,VROD9,中国香港,上海中货,399.67,12,,洋三4,,集装箱船
08/2200,,开,,地中海奥斯卡,MSC OSCAR,3FBT7,巴拿马,上港联代,395.4,11.8,,洋二7,,集装箱船
08/2230 ,,开,,阿迪,ZARDIS,EPBR4,伊朗,上海新海,304.7,13.7,,洋三4,,集装箱船
08/2300 ,,开,,狮城,KOTA SINGA,9V2131,新加坡,上海外代,228,11.5,,洋三3/4,,油轮
08/2300,,开,,马士基莱索托,LESOTHO,A8VO8,利比里亚,上港联代,299.9,11.4,,洋三3,,集装箱船
08/2300,,开,,圣乌苏拉,SANTA URSULA,CQFC,葡萄牙,上海航华,299.98,12,,洋三1,,集装箱船
08/2300 ,,开,,地中海索尼亚,MSC SONIA,3EUP7,巴拿马,上港联代,365.5,11.5,,洋一5,,集装箱船
