chineseName,name,imo,country,agent,length,dwt,port,type,if_suit,stop_reason_morning,stop_reason_afternoon
海幸,THALASSA TYHI,9V2235,新加坡,上海航华,368.48,12.5,洋一8,集装箱船,True,,
达飞塔蓬,CMA CGM TARPON,2AGI6,英国,上海外运,294.11,10.1,洋三3,集装箱船,True,,
南非木卡图,SAFMARINE MAKUTU,VROX8,中国香港,上港联代,292.08,11.1,洋一8,集装箱船,True,,
韩进亚洲,HANJIN ASIA,2FHT8,英属马恩岛,上海星瀚,366.0,13.1,洋一2,集装箱船,True,,
海陆战马,SEA-LAND CHARGER,9V3589,新加坡,上港联代,292.15,11.7,洋一6,集装箱船,True,,
中远瓦伦西亚,COSCO VALENCIA,VRLY7,中国香港,上海中货,261.1,11.1,洋一4,集装箱船,True,,
福克斯,TORM FOX,OYMH2,丹麦,上海中海船代,182.55,11.45,洋山油品,液化气船,True,,
以星海法,ZIM HAIFA,4XIM,以色列,上海运星,294.1,11.5,洋一3,集装箱船,True,,
珍珠公主一号,PUTERI MUTIARA SATU,9MGJ9,马来西亚,上海沣淳,276.0,11.4,洋山LNG,液化气船,True,,
珍珠公主一号,PUTERI MUTIARA SATU,9MGJ9,马来西亚,上海沣淳,276.0,11.4,洋山LNG,液化气船,True,,
南非木卡图,SAFMARINE MAKUTU,VROX8,中国香港,上港联代,292.08,12.0,洋一8,集装箱船,True,,
阿拉伯赞姆,UASC ZAMZAM,9V2584,新加坡,上海外运,299.92,10.5,洋三4,集装箱船,True,,
地中海汉堡,MSC HAMBURG,3FYY8,巴拿马,上港联代,399.0,9.6,洋一8,集装箱船,True,,
商船三井精彩,MOL BRAVO,VRNJ2,中国香港,上港联代,337.0,12.4,洋三4/5,集装箱船,True,,
地中海汉堡,MSC HAMBURG,3FYY8,巴拿马,上港联代,399.0,9.6,洋一8,集装箱船,True,,
商船三井精彩,MOL BRAVO,VRNJ2,中国香港,上港联代,337.0,12.4,洋三4/5,集装箱船,True,,
达飞塔蓬,CMA CGM TARPON,2AGI6,英国,上海外运,294.11,11.2,洋三3,集装箱船,True,,
迪塔,SHABDIS,EPBQ7,伊朗,上海新海,299.2,12.7,洋三3/4,集装箱船,True,,
迪塔,SHABDIS,EPBQ7,伊朗,上海新海,299.2,12.7,洋三3/4,集装箱船,True,,
海陆战马,SEA-LAND CHARGER,9V3589,新加坡,上港联代,292.15,12.2,洋一6,集装箱船,True,,
中远瓦伦西亚,COSCO VALENCIA,VRLY7,中国香港,上海中货,261.1,12.2,洋一4,集装箱船,True,,
地中海索尼亚,MSC SONIA,3EUP7,巴拿马,上港联代,365.5,10.6,洋一4,集装箱船,True,,
地中海索尼亚,MSC SONIA,3EUP7,巴拿马,上港联代,365.5,10.6,洋一4,集装箱船,True,,
现代雄心,HYUNDAI AMBITION,D5BU6,利比里亚,上海鹏海,366.53,13.2,洋三2/3,集装箱船,True,,
马士基勒布,MAERSK LEBU,VRJH7,中国香港,上港联代,299.9,9.7,洋三2/3,集装箱船,True,,
马士基勒布,MAERSK LEBU,VRJH7,中国香港,上港联代,299.9,9.7,洋三2/3,集装箱船,True,,
以星海法,ZIM HAIFA,4XIM,以色列,上海运星,294.1,11.5,洋一3,集装箱船,True,,
凯普圣文森特,CAP SAN VINCENT,DJMG2,德国,上海航华,331.1,11.0,洋一3,集装箱船,True,,
凯普圣文森特,CAP SAN VINCENT,DJMG2,德国,上海航华,331.1,11.0,洋一3,集装箱船,True,,
中海火星,CSCL MARS,VRJG2,中国香港,中海集运,366.07,11.8,洋三5,集装箱船,True,,
