DWT,MAX_LEN,MIN_LEN,AVG_LEN,type,wind,njd,var_wind
20000,184,129,156,杂货船,7,2000,
20000,188,138,154,散货船,7,2000,
70000,259,186,226,散货船,7,2000,
100000,260,221,234,散货船,7,2000,
120000,274,234,261,散货船,7,2000,
150000,303,249,282,散货船,7,2000,
20000,200,119,153,油船船,7,1500,10
80000,260,182,229,油船船,7,1500,10
100000,261,221,242,油船船,7,1500,10
120000,280,229,247,油船船,7,1500,10
150000,302,258,274,油船船,7,1500,10
20000,219,129,167,集装箱船,7,2000,
70000,335,218,289,集装箱船,7,2000,
100000,353,294,328,集装箱船,7,2000,
120000,367,349,354,集装箱船,7,2000,
150000,398,366,368,集装箱船,7,2000,
20000,255,138,188,货物滚装船,7,2000,
20000,212,100,154,汽车滚装船,7,2000,
70000,278,199,240,汽车滚装船,7,2000,
20000,216,125,165,客货滚装船,7,2000,
20000,185,130,146,散装水泥船,7,2000,
20000,182,94,145,化学品船,7,2000,
80000,244,216,229,化学品船,7,2000,
20000,197,130,164,液化气船,7,2000,9
80000,288,239,272,液化气船,7,2000,9
100000,315,264,286,液化气船,7,2000,9
150000,345,300,324,液化气船,7,2000,9
20000,214,125,158,客船,7,2000,
80000,294,243,265,客船,7,2000,
100000,315,272,291,客船,7,2000,
150000,345,311,326,客船,7,2000,
